tconst,title,startYear,genres,averageRating,numVotes
tt0111161,The Shawshank Redemption,1994.0,Drama,9.3,3113920
tt0468569,The Dark Knight,2008.0,"Action,Crime,Drama",9.1,3089698
tt1375666,Inception,2010.0,"Action,Adventure,Sci-Fi",8.8,2744591
tt0137523,Fight Club,1999.0,"Crime,Drama,Thriller",8.8,2529183
tt0109830,Forrest Gump,1994.0,"Drama,Romance",8.8,2431823
tt0816692,Interstellar,2014.0,"Adventure,Drama,Sci-Fi",8.7,2423212
tt0110912,Pulp Fiction,1994.0,"Crime,Drama",8.8,2379487
tt0133093,The Matrix,1999.0,"Action,Sci-Fi",8.7,2196789
tt0120737,The Lord of the Rings: The Fellowship of the Ring,2001.0,"Adventure,Drama,Fantasy",8.9,2150633
tt0167260,The Lord of the Rings: The Return of the King,2003.0,"Adventure,Drama,Fantasy",9.0,2115499
tt0114369,Se7en,1995.0,"Crime,Drama,Mystery",8.6,1962620
tt1345836,The Dark Knight Rises,2012.0,"Action,Crime,Drama",8.4,1949805
tt0167261,The Lord of the Rings: The Two Towers,2002.0,"Adventure,Drama,Fantasy",8.8,1908977
tt1853728,Django Unchained,2012.0,"Drama,Western",8.5,1832733
tt0172495,Gladiator,2000.0,"Action,Adventure,Drama",8.5,1801917
tt0993846,The Wolf of Wall Street,2013.0,"Biography,Comedy,Crime",8.2,1731405
tt0361748,Inglourious Basterds,2009.0,"Adventure,Drama,War",8.4,1728919
tt0372784,Batman Begins,2005.0,"Action,Crime,Drama",8.2,1678354
tt0102926,The Silence of the Lambs,1991.0,"Crime,Drama,Horror",8.6,1672928
tt7286456,Joker,2019.0,"Crime,Drama,Thriller",8.3,1649413
tt0120815,Saving Private Ryan,1998.0,"Drama,War",8.6,1599881
tt1130884,Shutter Island,2010.0,"Drama,Mystery,Thriller",8.2,1591104
tt0108052,Schindler's List,1993.0,"Biography,Drama,History",9.0,1552374
tt0482571,The Prestige,2006.0,"Drama,Mystery,Sci-Fi",8.5,1547905
tt0848228,The Avengers,2012.0,"Action,Sci-Fi",8.0,1531513
tt0407887,The Departed,2006.0,"Crime,Drama,Thriller",8.5,1519064
tt0120689,The Green Mile,1999.0,"Crime,Drama,Fantasy",8.6,1519014
tt0080684,Star Wars: Episode V - The Empire Strikes Back,1980.0,"Action,Adventure,Fantasy",8.7,1471073
tt0499549,Avatar,2009.0,"Action,Adventure,Fantasy",7.9,1450676
tt0088763,Back to the Future,1985.0,"Adventure,Comedy,Sci-Fi",8.5,1409744
tt0209144,Memento,2000.0,"Drama,Mystery,Thriller",8.4,1404491
tt4154796,Avengers: Endgame,2019.0,"Action,Adventure,Sci-Fi",8.4,1397012
tt0120338,Titanic,1997.0,"Drama,Romance",7.9,1361549
tt0099685,GoodFellas,1990.0,"Biography,Crime,Drama",8.7,1355836
tt2015381,Guardians of the Galaxy,2014.0,"Action,Adventure,Comedy",8.0,1339545
tt4154756,Avengers: Infinity War,2018.0,"Action,Adventure,Sci-Fi",8.4,1327338
tt0120382,The Truman Show,1998.0,"Comedy,Drama",8.2,1324948
tt0110413,Léon: The Professional,1994.0,"Action,Crime,Drama",8.5,1324899
tt0325980,Pirates of the Caribbean: The Curse of the Black Pearl,2003.0,"Action,Adventure,Fantasy",8.1,1293132
tt0910970,WALL·E,2008.0,"Adventure,Animation,Family",8.4,1286881
tt0266697,Kill Bill: Vol. 1,2003.0,"Action,Crime,Thriller",8.2,1273901
tt0169547,American Beauty,1999.0,Drama,8.3,1264236
tt0103064,Terminator 2: Judgment Day,1991.0,"Action,Adventure,Sci-Fi",8.6,1255780
tt0120586,American History X,1998.0,"Crime,Drama",8.5,1249766
tt0434409,V for Vendetta,2005.0,"Action,Drama,Sci-Fi",8.1,1229790
tt1431045,Deadpool,2016.0,"Action,Comedy,Sci-Fi",8.0,1229575
tt0110357,The Lion King,1994.0,"Adventure,Animation,Drama",8.5,1228211
tt0114814,The Usual Suspects,1995.0,"Crime,Drama,Mystery",8.5,1212160
tt1049413,Up,2009.0,"Adventure,Animation,Comedy",8.3,1206911
tt0371746,Iron Man,2008.0,"Action,Adventure,Sci-Fi",7.9,1196997
tt0264464,Catch Me If You Can,2002.0,"Biography,Crime,Drama",8.1,1194810
tt0081505,The Shining,1980.0,"Drama,Horror",8.4,1192019
tt1392190,Mad Max: Fury Road,2015.0,"Action,Adventure,Sci-Fi",8.1,1185959
tt0086190,Star Wars: Episode VI - Return of the Jedi,1983.0,"Action,Adventure,Fantasy",8.3,1185778
tt0266543,Finding Nemo,2003.0,"Adventure,Animation,Comedy",8.2,1181736
tt0119217,Good Will Hunting,1997.0,"Drama,Romance",8.3,1171732
tt0338013,Eternal Sunshine of the Spotless Mind,2004.0,"Drama,Romance,Sci-Fi",8.3,1157819
tt0477348,No Country for Old Men,2007.0,"Crime,Drama,Thriller",8.2,1154782
tt0105236,Reservoir Dogs,1992.0,"Crime,Thriller",8.3,1150768
tt0107290,Jurassic Park,1993.0,"Action,Adventure,Sci-Fi",8.2,1149609
tt0114709,Toy Story,1995.0,"Adventure,Animation,Comedy",8.3,1146108
tt0112573,Braveheart,1995.0,"Biography,Drama,War",8.3,1144110
tt2267998,Gone Girl,2014.0,"Drama,Mystery,Thriller",8.1,1143291
tt0167404,The Sixth Sense,1999.0,"Drama,Mystery,Thriller",8.2,1119961
tt6751668,Parasite,2019.0,"Drama,Thriller",8.5,1110252
tt2582802,Whiplash,2014.0,"Drama,Music",8.5,1108062
tt0082971,Raiders of the Lost Ark,1981.0,"Action,Adventure",8.4,1090963
tt1392170,The Hunger Games,2012.0,"Action,Adventure,Sci-Fi",7.2,1060321
tt0198781,"Monsters, Inc.",2001.0,"Adventure,Animation,Comedy",8.1,1049243
tt0268978,A Beautiful Mind,2001.0,"Biography,Drama,Mystery",8.2,1036828
tt1201607,Harry Potter and the Deathly Hallows: Part 2,2011.0,"Adventure,Family,Fantasy",8.1,1018886
tt2488496,Star Wars: The Force Awakens,2015.0,"Action,Adventure,Sci-Fi",7.7,1011928
tt0095016,Die Hard,1988.0,"Action,Thriller",8.2,1004902
tt1675434,The Intouchables,2011.0,"Comedy,Drama",8.5,999172
tt0086250,Scarface,1983.0,"Crime,Drama",8.3,989968
tt0253474,The Pianist,2002.0,"Biography,Drama,Music",8.5,988114
tt3659388,The Martian,2015.0,"Adventure,Drama,Sci-Fi",8.0,984940
tt1160419,Dune: Part One,2021.0,"Action,Adventure,Drama",8.0,984669
tt10872600,Spider-Man: No Way Home,2021.0,"Action,Adventure,Fantasy",8.2,984221
tt0088247,The Terminator,1984.0,"Action,Adventure,Sci-Fi",8.1,982305
tt2395427,Avengers: Age of Ultron,2015.0,"Action,Adventure,Sci-Fi",7.3,979042
tt0208092,Snatch,2000.0,"Comedy,Crime",8.2,960191
tt0180093,Requiem for a Dream,2000.0,Drama,8.3,955216
tt1843866,Captain America: The Winter Soldier,2014.0,"Action,Adventure,Sci-Fi",7.7,953156
tt15398776,Oppenheimer,2023.0,"Biography,Drama,History",8.3,951583
